departure_airport_id,departure_airport_name,departure_time,arrival_airport_id,arrival_airport_name,arrival_time,airline,flight_number,airplane,travel_class,duration_min,legroom,overnight,extensions_flight,index_tramo,total_duration,layovers,price_usd,type,extensions_group,emissions_this_flight,emissions_typical_route,emissions_difference_percent,booking_token,departure_date
LHR,Heathrow Airport,2025-07-07 20:55,AMS,Amsterdam Airport Schiphol,2025-07-07 23:10,KLM,KL 1016,Embraer 195 E2,Economy,75,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 49 kg,0,75,,80,One way,,50000,54000,-7,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01UWWFDZ2owUFJBQ0dnTlZVMFE0SEhEMFBRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAxNiJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 08:40,AMS,Amsterdam Airport Schiphol,2025-07-07 11:00,KLM,KL 1002,Airbus A321neo,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 36 kg,0,80,,89,One way,,37000,54000,-31,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01ESWFDZ2lYUlJBQ0dnTlZVMFE0SEhDWFJRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAwMiJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 16:10,AMS,Amsterdam Airport Schiphol,2025-07-07 18:30,British Airways,BA 440,Airbus A320,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 52 kg,0,80,,104,One way,,53000,54000,-2,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRME1Cb0tDTzlRRUFJYUExVlRSRGdjY085USIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkFNUyIsbnVsbCwiQkEiLCI0NDAiXV1d,2025-07-07
LHR,Heathrow Airport,2025-07-07 06:30,AMS,Amsterdam Airport Schiphol,2025-07-07 08:50,KLM,KL 1000,Airbus A321neo,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 36 kg,0,80,,80,One way,,37000,54000,-31,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01EQWFDZ2owUFJBQ0dnTlZVMFE0SEhEMFBRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAwMCJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 19:15,AMS,Amsterdam Airport Schiphol,2025-07-07 21:30,KLM,KL 1014,Embraer 195 E2,Economy,75,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 49 kg,0,75,,89,One way,,50000,54000,-7,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01UUWFDZ2lYUlJBQ0dnTlZVMFE0SEhDWFJRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAxNCJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 19:30,AMS,Amsterdam Airport Schiphol,2025-07-07 21:50,British Airways,BA 444,Airbus A320,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 52 kg,0,80,,100,One way,,53000,54000,-2,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRME5Cb0tDT0JORUFJYUExVlRSRGdjY09CTiIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkFNUyIsbnVsbCwiQkEiLCI0NDQiXV1d,2025-07-07
LHR,Heathrow Airport,2025-07-07 09:55,AMS,Amsterdam Airport Schiphol,2025-07-07 12:20,KLM,KL 1004,Embraer 195 E2,Economy,85,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 49 kg,0,85,,117,One way,,50000,54000,-7,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01EUWFDZ2lBV3hBQ0dnTlZVMFE0SEhDQVd3PT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAwNCJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 06:40,AMS,Amsterdam Airport Schiphol,2025-07-07 09:00,British Airways,BA 428,Airbus A320,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 52 kg,0,80,,117,One way,,53000,54000,-2,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRReU9Cb0tDS0ZiRUFJYUExVlRSRGdjY0tGYiIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkFNUyIsbnVsbCwiQkEiLCI0MjgiXV1d,2025-07-07
LHR,Heathrow Airport,2025-07-07 11:45,AMS,Amsterdam Airport Schiphol,2025-07-07 14:00,KLM,KL 1006,Airbus A321neo,Economy,75,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 36 kg,0,75,,140,One way,,37000,54000,-31,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01EWWFDZ2pWYkJBQ0dnTlZVMFE0SEhEVmJBPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAwNiJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 17:10,AMS,Amsterdam Airport Schiphol,2025-07-07 19:30,KLM,KL 1012,Embraer 195 E2,Economy,80,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 49 kg,0,80,,140,One way,,50000,54000,-7,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01USWFDZ2pWYkJBQ0dnTlZVMFE0SEhEVmJBPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAxMiJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 08:25,AMS,Amsterdam Airport Schiphol,2025-07-07 10:45,British Airways,BA 430,Airbus A321neo,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 41 kg,0,80,,156,One way,,42000,54000,-22,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRek1Cb0tDTE41RUFJYUExVlRSRGdjY0xONSIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkFNUyIsbnVsbCwiQkEiLCI0MzAiXV1d,2025-07-07
LHR,Heathrow Airport,2025-07-07 12:25,AMS,Amsterdam Airport Schiphol,2025-07-07 14:45,British Airways,BA 438,Airbus A320,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 51 kg,0,80,,161,One way,,51000,54000,-6,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRek9Cb0tDTWQ5RUFJYUExVlRSRGdjY01kOSIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkFNUyIsbnVsbCwiQkEiLCI0MzgiXV1d,2025-07-07
LHR,Heathrow Airport,2025-07-07 14:35,AMS,Amsterdam Airport Schiphol,2025-07-07 16:55,British Airways,BA 432,Airbus A320neo,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 45 kg,0,80,,165,One way,,46000,54000,-15,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRek1ob0xDTmFBQVJBQ0dnTlZVMFE0SEhEV2dBRT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIkJBIiwiNDMyIl1dXQ==,2025-07-07
LHR,Heathrow Airport,2025-07-07 19:45,CDG,Paris Charles de Gaulle Airport,2025-07-07 22:00,Air France,AF 1181,Airbus A220-300 Passenger,Economy,75,30 in,False,Average legroom (30 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 54 kg,0,795,CDG (640min),170,One way,,101000,54000,87,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZzFCUmpFeE9ERjhTMHd4TkRBeUdnc0l5WVFCRUFJYUExVlRSRGdjY01tRUFRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJDREciLG51bGwsIkFGIiwiMTE4MSJdLFsiQ0RHIiwiMjAyNS0wNy0wOCIsIkFNUyIsbnVsbCwiS0wiLCIxNDAyIl1dXQ==,2025-07-07
CDG,Paris Charles de Gaulle Airport,2025-07-08 08:40,AMS,Amsterdam Airport Schiphol,2025-07-08 10:00,KLM,KL 1402,Boeing 737,Economy,80,30 in,False,Average legroom (30 in); In-seat USB outlet; Carbon emissions estimate: 46 kg,1,795,CDG (640min),170,One way,,101000,54000,87,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZzFCUmpFeE9ERjhTMHd4TkRBeUdnc0l5WVFCRUFJYUExVlRSRGdjY01tRUFRPT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJDREciLG51bGwsIkFGIiwiMTE4MSJdLFsiQ0RHIiwiMjAyNS0wNy0wOCIsIkFNUyIsbnVsbCwiS0wiLCIxNDAyIl1dXQ==,2025-07-08
LHR,Heathrow Airport,2025-07-07 11:50,AMS,Amsterdam Airport Schiphol,2025-07-07 14:10,British Airways,BA 434,Airbus A320,Economy,80,29 in,False,Below average legroom (29 in); Wi-Fi for a fee; In-seat USB outlet; Carbon emissions estimate: 51 kg,0,80,,196,One way,,51000,54000,-6,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1ZDUVRRek5Cb0xDTW1ZQVJBQ0dnTlZVMFE0SEhESm1BRT0iLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIkJBIiwiNDM0Il1dXQ==,2025-07-07
LHR,Heathrow Airport,2025-07-07 14:45,AMS,Amsterdam Airport Schiphol,2025-07-07 17:00,KLM,KL 1010,Embraer 195 E2,Economy,75,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 49 kg,0,75,,229,One way,,50000,54000,-7,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ1pMVERFd01UQWFDd2lsc2dFUUFob0RWVk5FT0J4d3BiSUIiLFtbIkxIUiIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIktMIiwiMTAxMCJdXV0=,2025-07-07
LHR,Heathrow Airport,2025-07-07 17:30,FRA,Frankfurt Airport,2025-07-07 20:05,Lufthansa,LH 915,Airbus A320neo,Economy,95,29 in,False,Below average legroom (29 in); In-seat USB outlet; Carbon emissions estimate: 63 kg,0,225,FRA (60min),304,One way,,130000,54000,141,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ3hNU0RreE5YeE1TREV3TURJYUN3ajU3QUVRQWhvRFZWTkVPQnh3K2V3QiIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkZSQSIsbnVsbCwiTEgiLCI5MTUiXSxbIkZSQSIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIkxIIiwiMTAwMiJdXV0=,2025-07-07
FRA,Frankfurt Airport,2025-07-07 21:05,AMS,Amsterdam Airport Schiphol,2025-07-07 22:15,Lufthansa,LH 1002,Airbus A319,Economy,70,30 in,False,Average legroom (30 in); Wi-Fi for a fee; Carbon emissions estimate: 65 kg,1,225,FRA (60min),304,One way,,130000,54000,141,WyJDalJJZG1oNmMycEhXbWxrZEhkQlExVXlPV2RDUnkwdExTMHRMUzB0TFMwdGIzbDBNVUZCUVVGQlIyZHJlV2RCUlRCSVJHbEJFZ3hNU0RreE5YeE1TREV3TURJYUN3ajU3QUVRQWhvRFZWTkVPQnh3K2V3QiIsW1siTEhSIiwiMjAyNS0wNy0wNyIsIkZSQSIsbnVsbCwiTEgiLCI5MTUiXSxbIkZSQSIsIjIwMjUtMDctMDciLCJBTVMiLG51bGwsIkxIIiwiMTAwMiJdXV0=,2025-07-07
